Exercise_A,Exercise_B,Similarity_avg,Similarity_raw,Difficulty_avg,Difficulty_raw,Prerequisite_avg,Prerequisite_raw
inscribed_angles_3,inscribed_angles_1,8,6_9_8_9_9_8_7_7_8_9,4,4_5_1_5_5_3_3_6_5_3,7.5,6_9_8_8_9_7_8_4_8_8
inscribed_angles_3,circles_and_arcs,3.7,4_3_1_4_4_4_1_6_3_7,6,6_7_6_8_8_3_6_5_4_7,3.3,4_2_1_2_3_6_1_5_6_3
vertical_angles,complementary_and_supplementary_angles,6.583333333,8_7_7_6_5_9_3_8_7_6_6_7,4.833333333,3_7_7_6_5_5_2_5_5_6_5_2,5.666666667,8_4_7_6_7_9_4_6_5_4_4_4
vertical_angles,angle_addition_postulate,5.333333333,7_6_4_2_6_5_6_4_6_5_6_7,7,4_8_9_8_9_8_8_6_7_8_3_6,3.333333333,6_3_2_1_3_3_3_3_3_2_6_5
vertical_angles,vertical_angles_2,7.166666667,7_7_9_8_9_5_7_4_8_6_8_8,6.416666667,5_7_8_5_7_7_5_6_6_7_6_8,4.916666667,7_5_6_7_7_4_7_3_2_3_7_1
vertical_angles,angle_types,4.083333333,2_7_3_2_5_8_2_3_4_3_4_6,2.666666667,2_2_2_1_6_3_1_1_7_3_3_1,4.916666667,1_8_1_4_9_8_3_8_7_4_5_1
vertical_angles,writing_expressions_1,1.75,1_3_1_1_1_4_1_1_3_2_2_1,5.916666667,1_5_9_7_7_4_5_5_8_6_5_9,2.666666667,3_5_1_1_1_3_1_5_5_4_2_1
time_word_problem_2,arithmetic_word_problems_1,6,6_7_4_9_3_9_4,2.428571429,5_1_4_1_1_1_4,5.142857143,4_6_2_8_4_9_3
time_word_problem_2,subtraction_3,5.714285714,8_7_3_2_4_9_7,2.142857143,5_1_4_1_1_1_2,5.428571429,7_6_2_6_2_9_6
time_word_problem_2,time_units_transformation_1,7.428571429,8_8_8_8_5_8_7,2.285714286,1_2_4_1_2_1_5,7.142857143,9_6_8_7_4_9_7
time_word_problem_2,telling_time_comparing,7.285714286,8_9_7_8_4_7_8,5.142857143,5_4_4_2_5_9_7,5.857142857,8_7_8_7_6_2_3
time_word_problem_2,telling_time,7,8_9_7_3_8_8_6,1.571428571,1_1_2_1_1_1_4,7.142857143,7_6_8_7_7_9_6
time_word_problem_3,arithmetic_word_problems_1,5.1,2_1_5_8_7_3_6_9_6_4,3.2,2_3_2_2_7_2_3_5_3_3,4.9,1_1_3_7_8_6_3_9_5_6
time_word_problem_3,telling_time_2,5.4,6_7_6_4_3_2_4_8_6_8,2.7,1_3_1_1_9_1_1_5_3_2,5.1,3_6_5_3_8_6_2_9_6_3
time_word_problem_3,time_word_problem_1,8,9_9_9_8_5_7_7_9_9_8,3.8,5_5_4_2_4_3_2_5_5_3,7.8,8_9_9_8_6_7_7_9_7_8
dividing_fractions_word_problems,dividing_fractions,6.923076923,8_9_7_3_8_4_8_6_6_8_7_7_9,4.384615385,3_4_7_8_5_3_3_2_5_3_6_4_4,6.538461538,7_9_7_3_9_4_9_6_5_8_3_6_9
dividing_fractions_word_problems,simplifying_fractions,4,8_6_1_3_4_3_3_3_3_2_3_6_7,2,2_1_1_1_1_2_3_1_2_5_3_2_2,3.846153846,7_2_1_2_2_4_5_3_9_2_4_5_4
dividing_fractions_word_problems,dividing_fractions_0.5,7.153846154,9_8_7_9_9_3_5_8_7_8_5_7_8,2.769230769,2_1_2_5_5_3_3_2_2_2_3_3_3,7.538461538,9_8_7_9_9_6_7_8_7_8_6_7_7
dividing_fractions_word_problems,multiplying_fractions_0.5,4.923076923,9_3_2_3_8_4_6_2_4_6_6_4_7,2.461538462,1_1_2_3_4_2_3_2_3_2_4_3_2,4.692307692,9_3_2_3_9_4_8_2_8_2_4_4_3
adding_fractions,equivalent_fractions_2,5,8_3_5_2_3_5_5_8_4_4_8,3.181818182,5_2_1_2_7_3_1_3_5_2_4,5,5_5_4_6_2_5_2_7_5_7_7
adding_fractions,converting_mixed_numbers_and_improper_fractions,5.454545455,4_6_4_6_4_5_4_8_4_7_8,3,3_4_1_1_4_3_2_1_5_5_4,6.363636364,7_6_3_7_5_7_4_9_5_8_9
adding_fractions,adding_fractions_with_common_denominators,7.727272727,8_8_8_9_8_7_7_9_4_8_9,1.636363636,2_1_1_1_3_3_1_1_2_1_2,7.545454545,8_9_7_9_7_7_5_9_7_8_7
adding_fractions,adding_and_subtracting_fractions,7.636363636,7_8_9_8_8_7_7_8_5_9_8,6.090909091,5_6_5_9_6_6_6_8_5_5_6,4.727272727,5_6_9_2_4_4_6_1_5_6_4
adding_fractions,simplifying_fractions,5.272727273,6_2_5_3_6_6_5_8_4_6_7,2.727272727,6_4_1_1_4_3_1_2_3_2_3,6.272727273,5_6_6_8_6_6_3_8_6_7_8
simplifying_expressions_with_exponents,exponents_2,5.625,4_7_4_8_9_4_2_7,2.5,6_2_2_3_1_2_2_2,5.125,4_7_2_8_9_5_2_4
simplifying_expressions_with_exponents,scientific_notation_intuition,2.875,2_6_1_2_1_2_3_6,2.25,4_2_1_4_2_1_1_3,3.625,3_8_1_4_3_1_6_3
simplifying_expressions_with_exponents,exponent_rules,7.375,3_8_6_8_9_8_9_8,3.5,6_2_1_4_5_2_4_4,7.125,4_7_5_8_8_9_7_9
simplifying_expressions_with_exponents,exponents_1,4.625,1_7_1_3_9_2_7_7,1.75,1_2_1_1_1_1_6_1,4.75,2_8_2_6_9_2_6_3
divisibility_0.5,divisibility_intuition,6.363636364,8_6_8_3_7_6_6_9_4_5_8,3.909090909,2_3_7_1_2_5_6_1_8_3_5,6.272727273,8_7_6_6_4_6_6_9_3_5_9
divisibility_0.5,composite_numbers,6.272727273,7_6_7_2_3_6_8_8_7_7_8,4.272727273,7_3_2_4_4_5_5_5_3_5_4,6.272727273,4_6_8_5_3_6_8_7_6_7_9
divisibility_0.5,division_2,5.818181818,7_6_7_6_4_6_4_8_3_6_7,2.545454545,3_3_1_4_2_3_3_1_1_4_3,5.636363636,8_6_6_7_7_7_6_8_2_3_2
divisibility_0.5,divisibility_tests,6.636363636,8_4_8_6_8_7_4_8_6_6_8,4.363636364,4_4_2_1_7_4_6_3_4_6_7,6.181818182,8_6_7_6_8_7_5_8_6_4_3
divisibility_0.5,prime_numbers,6.727272727,8_6_8_6_3_6_7_8_7_7_8,3.909090909,7_3_2_1_4_5_4_5_3_5_4,5.818181818,3_6_7_5_4_6_7_7_6_5_8
comparing_absolute_values,absolute_value,8.3,9_9_7_8_9_9_9_8_8_7,3.8,5_2_4_5_5_5_5_1_3_3,8.1,8_9_7_9_8_9_9_8_7_7
comparing_absolute_values,absolute_value_add_sub,6.9,8_8_6_8_8_4_6_7_6_8,7.3,7_7_7_8_7_7_9_7_7_7,4.8,4_5_7_8_4_4_2_5_6_3
comparing_absolute_values,adding_and_subtracting_negative_numbers,4.5,6_7_6_6_4_2_1_3_4_6,4.8,6_6_5_5_5_6_6_2_3_4,4.1,4_6_6_8_2_2_2_3_4_4
comparing_absolute_values,adding_negative_numbers,4.9,7_8_7_7_4_2_1_3_4_6,4.4,6_4_5_1_5_6_6_3_5_3,4.2,4_6_6_7_2_4_2_4_3_4
corresponding_angles_2,alternate_interior_angles_2,8.222222222,9_7_9_8_8_8_8_9_8,5.222222222,5_5_5_5_5_6_6_5_5,7.666666667,6_7_9_8_9_8_8_5_9
corresponding_angles_2,congruent_angles,7.444444444,4_6_7_8_9_9_7_9_8,2.555555556,2_2_1_6_5_2_3_1_1,7.111111111,8_7_7_8_9_8_7_9_1
corresponding_angles_2,parallel_lines_1,7.555555556,8_6_7_8_8_7_8_9_7,4,4_2_1_6_5_7_5_5_1,6.666666667,6_7_8_8_9_7_8_6_1
corresponding_angles_2,parallel_lines_2,7.666666667,8_6_9_6_8_7_8_9_8,4.888888889,5_2_5_6_5_6_5_5_5,7.555555556,6_8_9_7_9_7_7_6_9
corresponding_angles_2,alternate_interior_angles,8.222222222,8_8_9_8_8_8_8_9_8,4.333333333,5_5_5_5_5_2_5_5_2,6.888888889,5_7_9_8_9_9_9_5_1
areas_of_kites,triangle_inequality_theorem,2.166666667,1_3_1_2_5_1,4.333333333,6_6_2_4_4_4,2,2_3_1_1_4_1
areas_of_kites,areas_of_rhombi,8,8_8_7_9_8_8,5.166666667,6_5_5_5_5_5,8.166666667,8_8_8_9_7_9
areas_of_kites,angles_1,1.666666667,2_1_1_1_3_2,5.5,1_9_4_8_7_4,2.166666667,2_4_1_1_3_2
areas_of_kites,solid_geometry,5,7_8_1_6_3_5,5.5,7_5_6_7_2_6,4.5,5_6_1_7_5_3
areas_of_kites,angles_2,1.833333333,2_1_1_1_3_3,6.166666667,2_9_6_8_7_5,1.5,1_1_1_1_3_2
l_ml_time_div,subtraction_2,1.5,3_1_2_2_1_1_1_1,1.375,1_1_2_1_2_1_1_2,1.5,1_1_1_1_1_1_1_5
l_ml_time_div,expressions_with_unknown_variables,1.625,4_1_3_1_1_1_1_1,7.375,5_7_6_8_7_8_9_9,1.375,3_1_1_1_1_1_1_2
l_ml_time_div,linear_equations_4,1.375,3_1_2_1_1_1_1_1,8.125,6_7_9_9_7_9_9_9,1.25,3_1_1_1_1_1_1_1
l_ml_time_div,l_ml_word_problem,7.5,7_8_8_7_8_8_7_7,3.875,5_1_4_5_4_3_5_4,8.25,6_8_9_8_8_9_9_9
l_ml_time_div,l_ml_transform,8.125,8_8_8_8_9_8_7_9,2.875,2_1_2_3_5_2_3_5,8.25,6_8_9_8_9_9_8_9
absolute_value,comparing_absolute_values,8.3,9_8_8_8_7_8_9_9_9_8,5.3,5_5_5_6_7_3_5_5_6_6,4.8,4_9_6_4_4_6_5_3_3_4
absolute_value,negative_number_word_problems,4.1,1_1_2_4_7_5_5_3_7_6,6.9,7_9_7_7_6_6_8_5_8_6,3,2_1_1_4_4_6_2_5_2_3
absolute_value,adding_negative_numbers,4.8,3_1_1_6_6_3_8_9_6_5,5.8,6_7_5_5_5_5_6_6_7_6,3.8,3_1_2_5_6_6_5_4_3_3
absolute_value,absolute_value_add_sub,7.9,9_8_7_8_7_7_9_9_7_8,7.3,6_8_9_7_7_7_9_7_7_6,2.9,1_2_4_3_3_7_1_2_3_3
absolute_value,adding_and_subtracting_negative_numbers,4.9,2_1_2_6_6_3_8_9_7_5,5.2,6_7_5_5_2_3_5_6_7_6,3.1,3_1_1_4_6_4_3_3_3_3
domain_and_range_0.5,functions_1,7.222222222,7_6_8_5_7_9_8_7_8,3.666666667,2_3_5_2_6_5_1_3_6,5.777777778,9_5_8_5_7_5_5_4_4
domain_and_range_0.5,linear_equations_3,3.444444444,1_1_3_1_5_8_3_4_5,3.555555556,1_1_9_1_6_3_2_3_6,4,3_1_3_1_6_7_3_7_5
domain_and_range_0.5,functions_2,6.444444444,7_6_6_4_5_8_8_6_8,6,4_7_7_9_7_8_3_3_6,4.555555556,7_5_3_3_7_2_3_7_4
domain_and_range_0.5,direct_and_inverse_variation,2.777777778,1_2_3_1_4_8_2_2_2,4.777777778,1_6_8_7_6_4_5_3_3,3.333333333,1_1_4_1_3_7_4_6_3
area_of_squares_and_rectangles,volume_box,6,7_4_7_6_7_3_9_5,7.125,7_7_7_8_7_7_7_7,3,4_3_3_3_3_2_4_2
area_of_squares_and_rectangles,perimeter_of_combined_shapes,5.75,5_5_6_6_6_5_9_4,5,4_8_6_2_5_6_6_3,6.5,6_7_4_7_8_6_7_7
area_of_squares_and_rectangles,area_1,8.75,9_9_8_9_9_9_9_8,4.75,3_5_5_5_5_5_5_5,8.5,9_9_9_9_8_9_7_8
area_of_squares_and_rectangles,order_of_operations,3,2_2_1_6_3_1_6_3,6.25,5_8_7_3_6_9_5_7,3.125,2_1_1_4_7_1_7_2
area_of_squares_and_rectangles,fractions_on_the_number_line_1,1.75,3_1_1_1_2_1_3_2,3.25,5_3_3_1_3_4_5_2,2.375,2_1_1_1_4_1_6_3
area_of_squares_and_rectangles,alternate_exterior_angles,2,3_1_1_1_2_1_4_3,3.625,5_5_6_1_1_5_5_1,2.375,3_1_1_1_3_1_5_4
functions_2,functions_1,7.9,6_8_8_8_9_9_9_6_8_8,3.3,4_4_1_4_3_2_4_5_2_4,8.2,7_8_8_9_9_9_9_6_8_9
functions_2,linear_equations_2,3.5,4_7_2_2_1_2_6_3_3_5,3.6,3_3_1_2_5_1_2_8_7_4,4.4,7_7_2_2_1_2_8_6_3_6
functions_2,linear_equations_3,3.7,5_7_2_4_1_2_3_5_4_4,3.5,6_2_1_4_5_1_2_5_5_4,3.6,3_7_2_4_1_2_4_4_4_5
functions_2,even_and_odd_functions,5.2,5_6_5_2_4_3_8_5_6_8,5.5,4_4_6_6_7_8_5_5_7_3,5.3,7_7_2_3_6_4_8_5_2_9
functions_2,domain_and_range_0.5,6.1,5_7_6_8_6_5_8_3_6_7,3.1,4_2_2_3_4_1_2_7_3_3,6.6,6_7_5_7_6_6_8_7_7_7
solid_geometry,addition_1,3.111111111,1_7_2_1_1_1_3_6_6,1.333333333,1_3_2_1_1_1_1_1_1,3.333333333,1_7_8_1_1_1_3_7_1
solid_geometry,recognizing_rays_lines_and_line_segments,2.444444444,1_5_1_1_2_1_3_7_1,2.111111111,7_2_1_1_1_1_2_3_1,3.888888889,2_6_8_1_1_1_7_6_3
solid_geometry,areas_of_kites,5.444444444,5_8_5_2_1_4_8_8_8,3,3_2_5_1_3_2_2_5_4,6.111111111,5_8_9_3_1_5_8_7_9
solid_geometry,angles_2,2.444444444,2_1_2_1_2_1_3_6_4,4.333333333,2_8_8_1_4_1_3_6_6,2.333333333,2_2_2_1_1_1_4_4_4
solid_geometry,metric_area_unit_comparison,2.333333333,2_2_2_1_1_1_2_5_5,3.555555556,4_3_1_3_6_2_4_5_4,3.777777778,2_7_8_1_1_1_4_4_6
solid_geometry,shaded_areas,5.666666667,3_7_5_5_3_5_8_8_7,3.333333333,2_1_1_3_4_3_4_5_7,5.777777778,3_9_9_5_1_6_8_7_4
congruency_postulates,same_side_exterior_angles_2,2.5,2_1_1_1_2_5_4_4,3.5,7_1_3_2_2_2_6_5,2.25,1_1_2_1_2_4_4_3
congruency_postulates,congruent_triangles_2,5.875,5_7_9_4_3_6_6_7,4.125,3_4_4_2_3_5_6_6,4.25,3_8_7_3_3_2_4_4
congruency_postulates,decimals_on_the_number_line_1,1.875,1_1_1_1_4_5_1_1,2.125,1_2_1_1_1_7_1_3,1.75,1_1_1_1_4_3_2_1
congruency_postulates,areas_of_kites,1.875,2_1_1_1_2_3_3_2,3.125,2_3_3_2_2_6_3_4,2.75,3_1_3_1_3_5_4_2
congruency_postulates,angles_2,3.5,4_1_7_2_2_4_3_5,5.625,3_6_7_2_7_5_8_7,2.5,3_1_3_2_2_5_2_2
dividing_fractions,fractions_cut_and_copy_1,6.111111111,4_4_7_2_7_8_8_8_7,6,9_8_2_8_7_9_1_6_4,3.888888889,1_3_8_1_8_1_4_3_6
dividing_fractions,multiplying_fractions_word_problems,6.444444444,3_8_5_8_7_5_7_7_8,3.555555556,2_6_4_4_5_2_1_4_4,5.444444444,1_7_4_6_7_8_3_6_7
dividing_fractions,multiplying_fractions,6.444444444,6_8_6_7_7_2_6_8_8,3,1_5_3_2_4_2_3_4_3,6.777777778,8_8_6_6_8_8_5_6_6
dividing_fractions,dividing_fractions_0.5,8.555555556,9_9_8_9_8_9_9_7_9,4.444444444,4_5_5_5_5_4_3_5_4,8.666666667,9_9_9_9_9_8_9_7_9
dividing_fractions,multiplying_fractions_0.5,6.777777778,6_8_6_7_8_4_7_7_8,2.666666667,1_5_3_1_5_2_2_3_2,6,7_8_6_5_7_8_3_6_4
chain_rule_1,derivative_intuition,4,1_6_6_3_2_7_3,4.857142857,5_5_4_4_8_3_5,4.714285714,1_7_7_4_3_7_4
chain_rule_1,derivatives_1,3.714285714,2_3_6_1_3_7_4,4.714285714,5_8_4_1_8_3_4,4.142857143,1_3_7_1_4_7_6
recognizing_conic_sections,parabola_intuition_1,3.846153846,3_1_7_7_4_2_5_1_2_1_3_7_7,7.076923077,7_9_7_4_9_7_6_9_8_8_7_5_6,3.769230769,3_1_3_8_4_4_6_1_2_2_4_6_5
recognizing_conic_sections,multiplying_expressions_0.5,2.230769231,2_1_2_1_2_6_4_1_1_1_2_3_3,7,7_9_3_4_9_7_6_9_9_8_7_7_6,2.846153846,3_1_3_1_6_4_5_1_1_1_4_4_3
recognizing_conic_sections,adding_and_subtracting_polynomials,1.846153846,3_1_2_1_3_1_4_1_1_1_1_3_2,7.384615385,7_9_7_7_9_7_7_9_8_8_4_8_6,2.307692308,3_1_3_1_3_1_4_1_1_2_4_4_2
recognizing_conic_sections,decimals_on_the_number_line_2,1.846153846,4_1_4_1_1_1_5_1_1_1_1_2_1,4,2_6_2_2_5_2_3_9_7_8_1_4_1,2.769230769,7_1_6_1_1_1_6_2_1_2_3_4_1
direct_and_inverse_variation,new_definitions_1,4.454545455,7_7_3_6_1_1_1_6_9_4_4,4.818181818,4_5_7_2_5_6_2_4_3_7_8,4.181818182,7_6_4_7_1_1_1_7_7_3_2
direct_and_inverse_variation,linear_equations_2,5,7_6_7_3_9_1_1_5_9_3_4,3.272727273,2_3_3_2_5_2_1_4_1_7_6,5.363636364,7_6_7_7_9_1_1_5_9_3_4
direct_and_inverse_variation,linear_equations_3,4.727272727,7_7_7_3_5_1_1_6_9_4_2,3.909090909,3_6_3_2_9_3_1_5_1_4_6,5.090909091,8_7_7_6_6_1_1_7_9_2_2
direct_and_inverse_variation,linear_inequalities,4.181818182,8_6_2_4_4_1_1_5_9_3_3,4.363636364,4_6_3_3_5_4_1_6_3_8_5,4,7_7_4_3_6_1_1_5_6_2_2
evaluating_expressions_2,linear_equations_1,6,6_6_7_2_9_7_7_3_7,3.333333333,3_6_7_3_1_4_2_1_3,5.222222222,5_3_1_2_9_7_8_5_7
evaluating_expressions_2,adding_decimals_2,2.111111111,2_6_1_2_2_1_2_1_2,2.333333333,1_7_3_1_1_3_1_2_2,2.666666667,2_3_1_1_8_1_1_1_6
evaluating_expressions_2,multiplying_radicals,1.333333333,1_3_1_1_1_1_1_1_2,5.555555556,2_6_7_7_9_6_1_7_5,1.666666667,3_3_1_1_1_1_1_1_3
evaluating_expressions_2,adding_and_subtracting_fractions,2.333333333,1_6_1_2_1_1_5_1_3,3.777777778,2_4_7_8_1_3_2_4_3,3.444444444,2_7_1_1_8_1_5_1_5
evaluating_expressions_2,evaluating_expressions_1,8.333333333,5_9_7_9_9_9_9_9_9,2.555555556,3_2_3_2_1_5_1_3_3,8.444444444,5_8_9_9_9_9_9_9_9
evaluating_expressions_2,writing_expressions_1,5.777777778,2_7_7_3_8_6_7_5_7,3.888888889,1_3_3_6_1_6_5_6_4,6.222222222,1_7_9_5_9_7_5_7_6
evaluating_expressions_2,division_4,1.888888889,4_4_1_1_1_1_2_1_2,4,3_3_7_8_1_4_1_7_2,2.777777778,3_7_1_1_8_1_1_1_2
mean_median_and_mode,time_units_transformation_2,1.3,2_2_1_1_1_1_1_1_1_2,5.5,5_6_3_5_8_7_5_5_5_6,3,3_4_1_1_8_1_4_1_3_4
mean_median_and_mode,exploring_mean_and_median,5.1,4_4_6_2_1_7_8_3_8_8,6.4,7_6_6_8_9_6_4_6_7_5,4.4,2_4_3_3_2_7_7_4_4_8
mean_median_and_mode,creating_box_and_whisker_plots,4.8,4_3_7_2_2_7_6_3_8_6,6.4,5_7_7_8_9_6_4_6_5_7,4.3,5_3_1_3_2_6_7_4_8_4
mean_median_and_mode,parabola_intuition_3,1.6,2_2_1_1_1_1_4_1_1_2,8.2,8_7_9_9_9_7_6_9_9_9,1.6,1_2_1_1_1_1_5_1_1_2
mean_median_and_mode,order_of_operations,1.7,3_2_1_1_1_1_2_1_3_2,6.2,6_7_7_7_1_7_6_9_5_7,3.3,2_2_1_1_8_1_7_1_6_4
mean_median_and_mode,multiplying_fractions,1.8,4_2_1_1_1_1_4_1_1_2,5.4,6_7_6_6_1_6_3_7_6_6,2.6,2_2_1_1_8_1_4_1_3_3
multiplication_0.5,ratio_discount,5.666666667,2_7_9_5_8_6_1_7_6,7.888888889,7_9_8_8_8_7_8_8_8,1.888888889,2_1_1_2_1_1_1_7_1
multiplication_0.5,addition_2,2.555555556,4_5_2_1_1_1_1_4_4,4.111111111,1_5_3_7_1_4_7_4_5,5.222222222,5_6_7_1_9_6_2_6_5
multiplication_0.5,arithmetic_word_problems_1,2.333333333,4_7_1_1_1_1_1_3_2,4.555555556,1_7_1_6_8_4_5_4_5,4,4_3_6_1_2_6_3_6_5
multiplication_0.5,combining_like_terms_with_two_variables,3.555555556,4_6_8_1_2_1_1_7_2,8.333333333,8_9_9_9_9_6_9_7_9,1.555555556,4_1_1_1_1_1_1_2_2
multiplication_0.5,arithmetic_word_problems_2,7.111111111,7_9_7_7_8_6_6_6_8,7.222222222,6_9_7_6_8_7_7_7_8,2.777777778,4_1_1_5_1_1_5_6_1
multiplication_0.5,multiplication_1,9,9_9_9_9_9_9_9_9_9,6,5_8_8_5_8_5_5_5_5,5.888888889,8_2_1_9_1_9_9_9_5
multiplication_0.5,representing_numbers,5.555555556,5_7_6_2_8_7_2_8_5,4.777777778,6_3_3_6_9_3_6_6_1,5.444444444,4_7_8_3_1_7_3_8_8
adding_and_subtracting_radicals,exponents_1,2.333333333,3_4_2_1_2_1_3_1_4,2.222222222,1_3_1_1_1_1_3_5_4,3.222222222,2_7_1_1_3_1_5_5_4
adding_and_subtracting_radicals,simplifying_radicals,7.555555556,6_8_9_7_6_9_7_9_7,3.111111111,3_2_2_3_2_2_5_5_4,7.555555556,8_8_9_6_6_9_5_9_8
adding_and_subtracting_radicals,pythagorean_theorem_1,3.555555556,2_7_1_1_2_5_6_1_7,3.777777778,3_6_8_2_2_6_2_1_4,3.111111111,1_4_1_1_3_3_5_1_9
adding_and_subtracting_radicals,square_roots_2,5.444444444,6_7_6_2_7_8_4_2_7,4,5_3_2_3_4_1_5_9_4,5.444444444,5_7_5_3_2_7_5_8_7
adding_and_subtracting_radicals,radical_equations,6,6_7_3_7_4_7_3_9_8,7.444444444,6_7_9_7_7_7_8_9_7,4.111111111,4_3_1_4_2_8_2_9_4
telling_time_0.5,telling_time,8.5,8_8_9_9_9_9_9_8_8_8,6,5_8_5_5_5_6_7_5_6_8,6.1,8_4_8_9_9_9_1_8_3_2
telling_time_0.5,representing_numbers,3.3,1_7_3_3_1_1_3_5_6_3,4.3,5_3_5_5_4_9_1_5_5_1,4.3,2_7_6_3_1_2_9_6_6_1
limits_1,quadratic_equation,4.5,3_3_3_2_8_5_6_6,4,2_5_3_9_1_5_4_3,4,2_2_3_1_9_5_4_6
limits_1,imaginary_unit_powers,2.125,1_2_1_1_1_3_4_4,2.875,1_5_3_1_1_6_4_2,3,1_1_1_1_6_6_3_5
limits_1,limits_2,7.875,8_9_9_8_8_5_8_8,5,6_5_4_4_8_5_3_5,5,4_3_8_7_1_5_7_5
exploring_mean_and_median,equivalent_fractions,3,2_7_1_7_1_4_1_3_4_1_2,2.727272727,3_5_1_2_3_1_1_2_5_1_6,3.636363636,6_6_1_7_1_6_1_1_4_6_1
exploring_mean_and_median,mean_median_and_mode,6.181818182,2_6_5_7_8_6_5_6_7_8_8,3,3_3_1_5_4_1_1_1_8_1_5,6.818181818,7_7_6_7_8_7_2_7_8_9_7
exploring_mean_and_median,number_properties_terminology_1,2.727272727,3_5_2_1_1_6_1_2_3_3_3,2.636363636,3_4_1_1_4_4_1_2_2_2_5,3.636363636,6_7_2_1_1_6_1_2_5_7_2
exploring_mean_and_median,order_of_operations,3.090909091,2_4_2_2_1_4_1_3_5_6_4,3.181818182,2_3_1_1_7_2_4_2_6_1_6,3.909090909,7_7_1_3_1_6_1_3_4_7_3
exploring_mean_and_median,divisibility,2.272727273,2_3_1_3_1_7_1_3_2_1_1,4.181818182,2_4_3_1_4_4_8_3_5_8_4,3.181818182,6_7_1_2_1_7_1_4_3_2_1
slope_of_a_line,identifying_points_2,5.7,7_6_6_7_3_3_9_3_7_6,2.9,2_3_1_5_1_4_5_1_3_4,5.8,8_7_5_6_5_7_8_1_7_4
slope_of_a_line,interpreting_linear_equations,6.2,7_6_7_6_6_7_8_2_8_5,3,2_4_1_5_5_3_1_1_5_3,5.8,8_6_5_6_6_7_8_1_8_3
slope_of_a_line,systems_of_equations_word_problems,3.3,2_5_2_2_3_1_8_1_6_3,4.8,6_4_6_3_8_7_4_1_7_2,3.5,2_7_3_7_1_1_8_1_3_2
scaling_vectors,adding_vectors,6.375,6_6_5_8_7_6_6_7,5.75,5_4_8_7_7_5_5_5,5.75,6_7_2_8_4_4_7_8
scaling_vectors,linear_equations_1,2.25,1_1_2_2_1_5_1_5,2,1_1_2_3_3_1_1_4,2.875,2_1_8_3_1_2_1_5
scaling_vectors,systems_of_equations_with_elimination_0.5,1.5,1_1_2_1_1_1_1_4,4,3_7_1_4_6_2_4_5,3.25,2_1_8_5_1_4_1_4
scaling_vectors,exploring_mean_and_median,2.25,3_1_2_2_1_1_1_7,3.875,2_8_1_6_4_1_6_3,3.25,2_1_8_3_1_1_1_9
scaling_vectors,division_2.9,1.125,1_1_2_1_1_1_1_1,2.5,5_6_1_2_3_1_1_1,2.25,2_1_8_3_1_1_1_1
ordering_fractions,comparing_fractions_1,7.75,5_5_9_8_9_9_9_8,4.25,3_4_5_5_4_4_4_5,7.5,6_7_9_3_9_9_8_9
ordering_fractions,comparing_fractions_2,8.25,6_7_9_8_9_9_9_9,3.875,1_6_5_5_4_4_2_4,8,5_6_9_8_9_9_9_9
ordering_fractions,ordering_numbers,7,7_4_8_6_8_8_8_7,6,8_5_5_8_6_5_8_3,5.625,4_6_9_3_4_9_4_6
ordering_fractions,multiplying_polynomials,1.875,1_2_1_2_1_1_6_1,7.75,9_6_8_8_7_7_9_8,1.625,1_3_1_2_1_1_3_1
ordering_fractions,simplifying_fractions,5.75,4_6_6_6_6_3_8_7,2.875,2_4_1_7_2_1_3_3,5.25,4_6_5_3_6_4_8_6
ordering_fractions,identifying_points_1,2.125,2_4_1_3_1_1_4_1,3.75,3_6_2_3_4_1_4_7,3,6_4_1_8_1_1_2_1
reading_pictographs_2,reading_pictographs_1,8.8,9_8_9_9_9_9_9_9_9_8,4.2,5_2_5_2_4_5_5_4_5_5,8,8_8_5_9_9_9_9_9_9_5
reading_pictographs_2,supplementary_angles,1.8,4_5_1_1_1_1_1_2_1_1,4.5,8_8_1_3_4_2_7_3_1_8,1.4,2_2_1_1_1_1_1_2_1_2
reading_pictographs_2,reading_tables_1,5.5,7_2_2_4_7_7_6_8_5_7,3.1,5_1_1_3_3_2_6_3_1_6,6.4,7_8_5_7_8_5_7_8_5_4
reading_pictographs_2,volume_space,1.8,4_4_1_1_2_1_1_2_1_1,7.1,8_8_8_5_7_7_7_6_6_9,1.6,3_2_3_1_1_1_1_2_1_1
reading_pictographs_2,reading_tables_2,6.3,6_2_6_7_8_6_7_8_5_8,4.9,7_8_1_3_4_5_7_4_4_6,5.4,5_2_2_7_7_6_7_9_5_4
metric_area_unit_comparison,integers_multiply_decimals2,2.666666667,3_1_1_5_1_5,3,2_2_3_2_4_5,3,6_1_1_2_1_7
metric_area_unit_comparison,rounding_whole_numbers,2.5,6_1_1_1_1_5,2.666666667,4_3_2_1_3_3,2.666666667,6_1_1_1_1_6
metric_area_unit_comparison,metric_area_unit_conversion,7.5,7_7_9_8_5_9,4.5,2_5_5_3_8_4,7.5,7_8_9_9_4_8
metric_area_unit_comparison,ordering_negative_numbers,2.5,4_1_2_5_1_2,4,4_3_3_8_4_2,1.833333333,3_1_1_2_1_3
metric_area_unit_comparison,rounding_numbers,2.166666667,4_1_1_1_1_5,2.5,2_3_3_1_3_3,2.5,4_1_1_1_1_7
